127.0.0.1 - - [20/Jul/2022:10:17:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:41 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:41 +0900] "GET /popo/main/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:41 +0900] "GET /popo/main/water.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:41 +0900] "GET /popo/main/happle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:41 +0900] "GET /popo/main/main_poster2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:42 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:42 +0900] "GET /popo/main/main_poster2.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:52 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:53 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:53 +0900] "GET /popo/main/main_poster2.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:17:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:18:33 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:18:33 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Jul/2022:10:18:33 +0900] "GET /popo/main/main_poster2.mp4 HTTP/1.1" 206 1
