127.0.0.1 - - [20/Aug/2022:16:59:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:07 +0900] "GET /popo/sub/happle.jsp HTTP/1.1" 200 6125
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:07 +0900] "GET /popo/resource/css/happle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:07 +0900] "GET /popo/resource/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:07 +0900] "GET /popo/sub/img/h4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:07 +0900] "GET /popo/sub/img/h5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:10 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:10 +0900] "GET /popo/main/img/having_idea.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:10 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:10 +0900] "GET /popo/main/img/main_poster.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Aug/2022:16:59:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:02:26 +0900] "GET /popo/login/login.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:02:26 +0900] "GET /popo/resource/css/join_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:02:26 +0900] "GET /popo/resource/JS/login.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:44 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/resource/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%EB%B9%84%EC%9E%90%EB%A6%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%ED%95%9C%EB%9D%BC%EC%88%98%EB%AA%A9%EC%9B%90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%EC%95%84%EB%A5%B4%EB%96%BC%EB%AE%A4%EC%A7%80%EC%97%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%EC%B2%9C%EC%A7%80%EC%97%B0%ED%8F%AD%ED%8F%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%EC%84%B1%EC%82%B0%EC%9D%BC%EC%B6%9C%EB%B4%89.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%ED%99%A9%EC%9A%B0%EC%A7%80%EC%84%A0%EB%85%80%ED%83%95.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:45 +0900] "GET /popo/sub/img/%EC%A3%BC%EC%83%81%EC%A0%88%EB%A6%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/sub/trip_detail2.jsp HTTP/1.1" 200 6288
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/resource/css/trip_detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%903.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%904.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:46 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%902.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/tour.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/tour.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/resource/css/tour.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/img/night_sky2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/img/happleWhite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/movie.ogg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:51 +0900] "GET /popo/sub/img/night_sky2.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [20/Aug/2022:17:13:53 +0900] "GET /popo/sub/happle.jsp HTTP/1.1" 200 6125
