127.0.0.1 - - [12/Aug/2022:15:33:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/sub/trip1.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/css/trip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_3.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_1.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/sub/img/%EC%82%AC%EC%A7%84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_2.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_5.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_4.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_6.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:09 +0900] "GET /popo/resource/img/event/event_7.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:33:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:36:08 +0900] "GET /popo/sub/trip1.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [12/Aug/2022:15:36:08 +0900] "GET /popo/resource/img/event/event_1.jpg HTTP/1.1" 404 858
