127.0.0.1 - - [02/Aug/2022:16:15:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:15:52 +0900] "GET /popo/resource/css/join_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:15:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:18 +0900] "GET /popo/login/join.jsp HTTP/1.1" 200 17384
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:18 +0900] "GET /popo/main/img/happle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:18 +0900] "GET /popo/resource/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pado_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pado_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pado_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/background_sky.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/sample.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pos3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pos1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/pos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/main_poster.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:26 +0900] "GET /popo/main/img/main_poster.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:32 +0900] "GET /popo/sub/promotion.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:32 +0900] "GET /popo/resource/css/promotion.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:32 +0900] "GET /popo/sub/img/titleimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:34 +0900] "GET /popo/sub/tour.jsp HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:34 +0900] "GET /popo/resource/css/tour.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:35 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [02/Aug/2022:16:17:35 +0900] "GET /popo/resource/css/trip.css HTTP/1.1" 304 -
